 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
89,CH2_XY17:0105-0316-0433:stiched_Image_T0088_CH2_XY17,89.608,51.467,3.433,0.951,0,11.187,9.225,4611.888,20232854.000,89,1.329
90,CH2_XY17:0105-0316-0433:stiched_Image_T0089_CH2_XY17,89.608,50.694,3.396,0.951,0,11.187,9.225,4542.613,19928937.000,90,1.344
91,CH2_XY17:0105-0316-0433:stiched_Image_T0090_CH2_XY17,89.608,51.445,3.355,0.951,0,11.187,9.225,4609.864,20223975.000,91,1.359
92,CH2_XY17:0105-0316-0433:stiched_Image_T0091_CH2_XY17,89.608,49.920,3.352,0.951,0,11.187,9.225,4473.270,19624724.000,92,1.374
93,CH2_XY17:0105-0316-0433:stiched_Image_T0092_CH2_XY17,89.608,49.723,3.354,0.951,0,11.187,9.225,4455.557,19547012.000,93,1.389
94,CH2_XY17:0105-0316-0433:stiched_Image_T0093_CH2_XY17,89.608,49.660,3.317,0.951,0,11.187,9.225,4449.931,19522332.000,94,1.404
95,CH2_XY17:0105-0316-0433:stiched_Image_T0094_CH2_XY17,89.608,50.430,3.329,0.951,0,11.187,9.225,4518.908,19824940.000,95,1.419
96,CH2_XY17:0105-0316-0433:stiched_Image_T0095_CH2_XY17,89.608,49.371,3.240,0.951,0,11.187,9.225,4424.074,19408895.000,96,1.434
97,CH2_XY17:0105-0316-0433:stiched_Image_T0096_CH2_XY17,89.608,49.172,3.147,0.951,0,11.187,9.225,4406.202,19330490.000,97,1.449
98,CH2_XY17:0105-0316-0433:stiched_Image_T0097_CH2_XY17,89.608,49.710,3.237,0.951,0,11.187,9.225,4454.414,19542000.000,98,1.464
99,CH2_XY17:0105-0316-0433:stiched_Image_T0098_CH2_XY17,89.608,48.943,3.213,0.951,0,11.187,9.225,4385.707,19240575.000,99,1.480
100,CH2_XY17:0105-0316-0433:stiched_Image_T0099_CH2_XY17,89.608,49.713,3.246,0.951,0,11.187,9.225,4454.725,19543363.000,100,1.495
101,CH2_XY17:0105-0316-0433:stiched_Image_T0100_CH2_XY17,89.608,49.807,3.467,0.951,0,11.187,9.225,4463.078,19580010.000,101,1.510
102,CH2_XY17:0105-0316-0433:stiched_Image_T0101_CH2_XY17,89.608,48.394,3.225,0.951,0,11.187,9.225,4336.514,19024759.000,102,1.525
103,CH2_XY17:0105-0316-0433:stiched_Image_T0102_CH2_XY17,89.608,49.282,3.457,0.951,0,11.187,9.225,4416.094,19373886.000,103,1.540
104,CH2_XY17:0105-0316-0433:stiched_Image_T0103_CH2_XY17,89.608,48.960,3.247,0.951,0,11.187,9.225,4387.260,19247386.000,104,1.555
105,CH2_XY17:0105-0316-0433:stiched_Image_T0104_CH2_XY17,89.608,47.742,3.182,0.951,0,11.187,9.225,4278.040,18768226.000,105,1.570
